city,title,brand,brand_series,version,year,distance,disaplacement,tl_number,price,guiding_price,service,is_strict
bj,雪佛兰 乐风RV 2016款 1.5L 自动畅行版,雪佛兰,乐风RV,自动畅行版,2016,2.8,1.5L,1.5,4.40,9.00,店内直卖,严选车
bj,奔驰GLA级 2015款 GLA 220 4MATIC 时尚型,奔驰GLA级,,,2016,4.9,,,21.66,34.70,店内直卖,严选车
bj,本田 锋范 2015款 1.5L CVT豪华版,本田,锋范,CVT豪华版,2016,9.1,1.5L,1.5,6.50,11.50,到店服务,非严选
bj,大众 速腾 2012款 1.6L 自动舒适型,大众,速腾,自动舒适型,2013,8.2,1.6L,1.6,6.00,16.40,,非严选
bj,大众 速腾 2012款 1.4TSI 自动时尚型,大众,速腾,SI 自动时尚型,2013,7.6,1.4T,1.4,7.40,16.90,,非严选
bj,标致308 2014款 乐享版 经典 1.6L 手动优尚型,标致308,,手动优尚型,2016,1.8,1.6L,1.6,5.30,11.50,到店服务,非严选
bj,奥迪A6L 2011款 2.0 TFSI 自动标准型,奥迪A6L,,,2012,9.9,,,14.00,42.30,,非严选
bj,福特 蒙迪欧 2013款 1.5L GTDi180时尚型,福特,蒙迪欧,GTDi180时尚型,2014,9.2,1.5L,1.5,8.49,8.95,到店服务,严选车
bj,福特 福克斯 2012款 两厢 1.6L 自动风尚型,福特,福克斯,自动风尚型,2012,9.0,1.6L,1.6,4.77,15.60,到店服务,严选车
bj,别克GL8 2014款 2.4L 经典版,别克GL8,,经典版,2015,9.8,2.4L,2.4,10.80,11.02,到店服务,严选车
bj,别克 君越 2016款 28T 豪华型,别克,君越,,2017,0.6,,,20.09,20.58,到店服务,严选车
bj,标致3008 2015款 2.0L 自动经典版,标致3008,,自动经典版,2016,3.7,2.0L,2.0,8.05,18.60,到店服务,严选车
bj,雪佛兰 科帕奇 2014款 2.4L 四驱旗舰版 7座,雪佛兰,科帕奇,四驱旗舰版 7座,2013,2.1,2.4L,2.4,8.59,8.93,店内直卖,严选车
bj,别克 凯越 2015款 1.5L 自动经典型,别克,凯越,自动经典型,2016,2.1,1.5L,1.5,5.50,10.00,到店服务,非严选
bj,大众CC 2013款 2.0TSI 至尊型,大众CC,,SI 至尊型,2013,11.7,2.0T,2.0,13.80,14.25,到店服务,严选车
bj,大众 途安 2011款 1.4T 自动智臻版5座,大众,途安,自动智臻版5座,2012,6.4,1.4T,1.4,7.20,21.00,到店服务,非严选
bj,福特 福克斯 2012款 两厢 1.6L 自动舒适型,福特,福克斯,自动舒适型,2014,4.5,1.6L,1.6,5.53,5.74,店内直卖,严选车
bj,别克GL8 2012款 2.4L BASE舒适版,别克GL8,,BASE舒适版,2013,13.2,2.4L,2.4,9.00,22.70,到店服务,非严选
bj,起亚 福瑞迪 2012款 1.6L AT Premium 纪念版,起亚,福瑞迪,AT Premium 纪念版,2012,5.2,1.6L,1.6,4.39,13.30,到店服务,非严选
bj,现代 朗动 2012款 1.6L 自动时尚型,现代,朗动,自动时尚型,2013,5.8,1.6L,1.6,5.48,12.60,店内直卖,严选车
bj,奥迪Q5 2012款 2.0TFSI 舒适型,奥迪Q5,,FSI 舒适型,2012,16.0,2.0T,2.0,15.28,15.97,到店服务,严选车
bj,大众 高尔夫 2012款 1.6 手动舒适型,大众,高尔夫,,2011,10.8,,,5.00,13.80,,非严选
bj,哈弗H2 2016款 红标 1.5T 自动两驱豪华型,哈弗H2,,自动两驱豪华型,2016,7.6,1.5T,1.5,6.50,13.30,到店服务,非严选
bj,现代 新胜达 2012款 2.4 至尊版 七座四驱(进口),现代,新胜达,,2012,13.1,,,8.30,8.5,到店服务,严选车
bj,奥迪A6L 2012款 35 FSI 舒适型,奥迪A6L,,,2012,9.0,,,20.65,59.90,到店服务,严选车
bj,雪佛兰 科鲁兹 2013款 1.6L SL MT,雪佛兰,科鲁兹,SL MT,2014,5.4,1.6L,1.6,4.40,11.80,到店服务,非严选
bj,日产 蓝鸟 2016款 1.6L CVT炫酷版,日产,蓝鸟,CVT炫酷版,2016,3.4,1.6L,1.6,7.98,13.40,到店服务,非严选
bj,大众 高尔夫 2011款 1.6 自动舒适型,大众,高尔夫,,2011,3.0,,,6.00,15.20,到店服务,非严选
bj,大众 朗逸 2011款 1.6L 手动品雅版,大众,朗逸,手动品雅版,2014,6.6,1.6L,1.6,5.30,13.30,到店服务,非严选
bj,哈弗H6 2011款 2.0L 手动两驱精英型,哈弗H6,,手动两驱精英型,2012,7.4,2.0L,2.0,3.00,11.50,到店服务,非严选
bj,大众 宝来 2013款 1.6L 手动时尚型,大众,宝来,手动时尚型,2013,5.0,1.6L,1.6,5.68,11.70,到店服务,非严选
bj,奥迪A6L 2014款 30 FSI 技术型,奥迪A6L,,,2015,12.0,,,24.90,25.75,到店服务,严选车
bj,奥迪A6L 2016款 45 TFSI quattro 运动型,奥迪A6L,,,2016,2.9,,,32.76,34.46,到店服务,严选车
bj,大众 桑塔纳 2013款 1.6L 手动舒适版,大众,桑塔纳,手动舒适版,2014,7.7,1.6L,1.6,4.20,11.30,,非严选
bj,本田CR-V 2015款 2.4L 两驱豪华版,本田CR-V,,两驱豪华版,2016,5.9,2.4L,2.4,15.10,15.65,到店服务,严选车
bj,长安CS75 2014款 1.8T 自动精英型 国IV,长安CS75,,自动精英型 国IV,2015,2.9,1.8T,1.8,6.94,7.32,到店服务,严选车
bj,宝马3系 2013款 320Li 时尚型,宝马3系,,,2012,6.9,,,14.74,15.42,到店服务,严选车
bj,现代 索纳塔八 2015款 经典 2.0L 自动豪华版,现代,索纳塔八,自动豪华版,2016,3.0,2.0L,2.0,11.00,20.60,,非严选
bj,现代 名驭 2009款 1.8L 自动舒适版GL,现代,名驭,自动舒适版GL,2011,6.4,1.8L,1.8,4.00,13.70,到店服务,非严选
bj,沃尔沃XC60 2015款 T5 AWD 智驭版,沃尔沃XC60,,,2015,10.7,,,18.96,19.43,店内直卖,严选车
bj,现代ix35 2013款 2.0L 自动两驱智能型GLS 国IV,现代ix35,,自动两驱智能型GLS 国IV,2013,8.7,2.0L,2.0,7.50,21.40,到店服务,非严选
bj,奔腾X80 2013款 2.3L 自动豪华型,奔腾X80,,自动豪华型,2013,9.5,2.3L,2.3,5.56,5.93,到店服务,严选车
bj,别克 君威 2014款 2.0L 领先时尚型,别克,君威,领先时尚型,2014,7.8,2.0L,2.0,7.83,19.40,到店服务,严选车
