city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
sh,大众 Passat领驭 2011款 2.0L 手动尊享型,大众,Passat领驭,手动尊享型,2012,7.0,2.0L,5.26,5.34,到店服务,严选车
sh,大众 宝来 2012款 1.6L 自动舒适型,大众,宝来,自动舒适型,2012,7.5,1.6L,4.66,14.20,到店服务,严选车
sh,大众 宝来 2015款 质惠版 1.6L 自动舒适型,大众,宝来,自动舒适型,2016,5.5,1.6L,7.60,13.60,到店服务,非严选
sh,荣威550 2012款 550S 1.8L 自动启臻版,荣威550,,自动启臻版,2011,8.8,1.8L,3.63,3.76,到店服务,严选车
sh,大众 甲壳虫 2013款 1.2TSI 时尚型(进口),大众,甲壳虫,SI 时尚型(进口),2013,7.4,1.2T,10.00,21.60,到店服务,非严选
sh,江淮 瑞风S5 2015款 1.5T 自动豪华型,江淮,瑞风S5,自动豪华型,2015,5.5,1.5T,5.50,14.10,到店服务,严选车
sh,大众 高尔夫 2016款 230TSI 自动豪华型,大众,高尔夫,自动豪华型,2016,4.3,230TSI,11.00,18.00,到店服务,非严选
sh,起亚 狮跑 2012款 2.0L 自动两驱版GLS,起亚,狮跑,自动两驱版GLS,2012,6.9,2.0L,5.60,20.00,到店服务,非严选
sh,大众 朗逸 2013款 改款 1.6L 自动豪华版,大众,朗逸,自动豪华版,2013,10.3,1.6L,6.67,15.90,到店服务,非严选
sh,斯柯达 明锐 2015款 1.6L 自动逸杰版,斯柯达,明锐,自动逸杰版,2015,4.9,1.6L,6.34,6.55,到店服务,严选车
sh,福特 福克斯 2015款 三厢 EcoBoost 180 自动精英型,福特,福克斯,,2016,5.5,,7.45,7.77,到店服务,严选车
sh,江淮 瑞风S3 2014款 1.5L 手动豪华智能型,江淮,瑞风S3,手动豪华智能型,2015,3.6,1.5L,4.00,8.10,到店服务,非严选
sh,起亚K3 2016款 1.6L 自动GLS,起亚K3,,自动GLS,2017,1.4,1.6L,7.89,12.90,到店服务,非严选
sh,长城C50 2013款 1.5T 手动精英型,长城C50,,手动精英型,2014,4.0,1.5T,3.80,9.40,到店服务,非严选
sh,长安 逸动 2014款 1.6L 手动豪华型,长安,逸动,手动豪华型,2015,5.8,1.6L,4.00,8.70,到店服务,非严选
sh,大众 帕萨特 2011款 1.8TSI 自动尊荣版,大众,帕萨特,SI 自动尊荣版,2012,11.7,1.8T,9.00,23.40,到店服务,非严选
sh,起亚 智跑 2014款 2.0L 自动两驱版GLS,起亚,智跑,自动两驱版GLS,2013,6.5,2.0L,7.77,8.03,到店服务,严选车
sh,现代 途胜 2015款 1.6T 双离合两驱智能型,现代,途胜,双离合两驱智能型,2017,0.8,1.6T,11.94,12.45,到店服务,严选车
